Node Name 	Event Type	Timestamp      		Packet Type		Seq. No   	Source    	Dest      
CLIENT    	S         	15:31:11.379824		DATA      		0         	CLIENT    	RELAY2    
RELAY2    	R         	15:31:11.379840		DATA      		0         	CLIENT    	RELAY2    
CLIENT    	S         	15:31:11.383869		DATA      		100       	CLIENT    	RELAY1    
RELAY1    	R         	15:31:11.384509		DATA      		100       	CLIENT    	RELAY1    
RELAY2    	S         	15:31:11.383962		DATA      		0         	RELAY2    	SERVER    
SERVER    	R         	15:31:11.386269		DATA      		0         	RELAY2    	SERVER    
RELAY2    	R         	15:31:11.385793		DATA      		200       	CLIENT    	RELAY2    
CLIENT    	S         	15:31:11.386424		DATA      		200       	CLIENT    	RELAY2    
CLIENT    	S         	15:31:11.388164		DATA      		300       	CLIENT    	RELAY1    
RELAY1    	R         	15:31:11.391731		DATA      		300       	CLIENT    	RELAY1    
RELAY2    	R         	15:31:11.391686		ACK       		0         	SERVER    	RELAY2    
SERVER    	S         	15:31:11.392784		ACK       		0         	SERVER    	RELAY2    
RELAY2    	S         	15:31:11.399465		ACK       		0         	RELAY2    	CLIENT    
CLIENT    	R         	15:31:11.399832		ACK       		0         	RELAY2    	CLIENT    
SERVER    	R         	15:31:11.400246		DATA      		300       	RELAY1    	SERVER    
RELAY1    	S         	15:31:11.400555		DATA      		300       	RELAY1    	SERVER    
RELAY2    	S         	15:31:11.404543		DATA      		200       	RELAY2    	SERVER    
CLIENT    	S         	15:31:11.405598		DATA      		400       	CLIENT    	RELAY2    
SERVER    	S         	15:31:11.405823		ACK       		300       	SERVER    	RELAY1    
RELAY1    	R         	15:31:11.407515		ACK       		300       	SERVER    	RELAY1    
RELAY2    	R         	15:31:11.413293		DATA      		400       	CLIENT    	RELAY2    
RELAY1    	S         	15:31:11.413332		ACK       		300       	RELAY1    	CLIENT    
CLIENT    	R         	15:31:11.413535		ACK       		300       	RELAY1    	CLIENT    
SERVER    	R         	15:31:11.416507		DATA      		200       	RELAY2    	SERVER    
RELAY1    	S         	15:31:11.416671		DATA      		100       	RELAY1    	SERVER    
RELAY2    	S         	15:31:11.420589		DATA      		400       	RELAY2    	SERVER    
SERVER    	S         	15:31:11.421522		ACK       		200       	SERVER    	RELAY2    
RELAY2    	R         	15:31:11.423312		ACK       		200       	SERVER    	RELAY2    
SERVER    	R         	15:31:11.425346		DATA      		100       	RELAY1    	SERVER    
RELAY2    	S         	15:31:11.428569		ACK       		200       	RELAY2    	CLIENT    
CLIENT    	R         	15:31:11.428655		ACK       		200       	RELAY2    	CLIENT    
RELAY1    	R         	15:31:11.432126		ACK       		100       	SERVER    	RELAY1    
SERVER    	S         	15:31:11.432139		ACK       		100       	SERVER    	RELAY1    
RELAY1    	S         	15:31:11.436280		ACK       		100       	RELAY1    	CLIENT    
CLIENT    	R         	15:31:11.436275		ACK       		100       	RELAY1    	CLIENT    
SERVER    	R         	15:31:11.440619		DATA      		400       	RELAY2    	SERVER    
CLIENT    	S         	15:31:11.439928		DATA      		500       	CLIENT    	RELAY1    
RELAY1    	R         	15:31:11.441155		DATA      		500       	CLIENT    	RELAY1    
CLIENT    	S         	15:31:11.442763		DATA      		600       	CLIENT    	RELAY2    
RELAY2    	R         	15:31:11.442844		DATA      		600       	CLIENT    	RELAY2    
RELAY2    	R         	15:31:11.446843		ACK       		400       	SERVER    	RELAY2    
SERVER    	S         	15:31:11.447888		ACK       		400       	SERVER    	RELAY2    
RELAY1    	S         	15:31:11.448537		DATA      		500       	RELAY1    	SERVER    
CLIENT    	S         	15:31:11.452312		DATA      		700       	CLIENT    	RELAY1    
RELAY2    	S         	15:31:11.452941		ACK       		400       	RELAY2    	CLIENT    
RELAY1    	R         	15:31:11.453599		DATA      		700       	CLIENT    	RELAY1    
SERVER    	R         	15:31:11.454361		DATA      		500       	RELAY1    	SERVER    
CLIENT    	R         	15:31:11.456228		ACK       		400       	RELAY2    	CLIENT    
RELAY1    	R         	15:31:11.459013		ACK       		500       	SERVER    	RELAY1    
SERVER    	S         	15:31:11.464386		ACK       		500       	SERVER    	RELAY1    
RELAY2    	S         	15:31:11.462091		DATA      		600       	RELAY2    	SERVER    
CLIENT    	S         	15:31:11.466855		DATA      		800       	CLIENT    	RELAY2    
RELAY2    	R         	15:31:11.470093		DATA      		800       	CLIENT    	RELAY2    
RELAY1    	S         	15:31:11.470061		ACK       		500       	RELAY1    	CLIENT    
SERVER    	R         	15:31:11.471245		DATA      		600       	RELAY2    	SERVER    
CLIENT    	R         	15:31:11.472553		ACK       		500       	RELAY1    	CLIENT    
RELAY2    	R         	15:31:11.476315		ACK       		600       	SERVER    	RELAY2    
SERVER    	S         	15:31:11.480689		ACK       		600       	SERVER    	RELAY2    
RELAY1    	S         	15:31:11.479545		DATA      		700       	RELAY1    	SERVER    
CLIENT    	S         	15:31:11.482927		DATA      		900       	CLIENT    	RELAY1    
RELAY2    	S         	15:31:11.484793		ACK       		600       	RELAY2    	CLIENT    
RELAY1    	R         	15:31:11.485431		DATA      		900       	CLIENT    	RELAY1    
SERVER    	R         	15:31:11.487193		DATA      		700       	RELAY1    	SERVER    
CLIENT    	R         	15:31:11.488133		ACK       		600       	RELAY2    	CLIENT    
RELAY2    	R         	15:31:11.491635		DATA      		1000      	CLIENT    	RELAY2    
RELAY1    	S         	15:31:11.492489		DATA      		900       	RELAY1    	SERVER    
CLIENT    	S         	15:31:11.492847		DATA      		1000      	CLIENT    	RELAY2    
SERVER    	S         	15:31:11.497259		ACK       		700       	SERVER    	RELAY1    
RELAY2    	S         	15:31:11.499839		DATA      		800       	RELAY2    	SERVER    
RELAY1    	R         	15:31:11.500228		ACK       		700       	SERVER    	RELAY1    
SERVER    	R         	15:31:11.503138		DATA      		900       	RELAY1    	SERVER    
RELAY1    	S         	15:31:11.503957		ACK       		700       	RELAY1    	CLIENT    
CLIENT    	R         	15:31:11.504929		ACK       		700       	RELAY1    	CLIENT    
SERVER    	S         	15:31:11.508376		ACK       		900       	SERVER    	RELAY1    
CLIENT    	S         	15:31:11.509314		DATA      		1100      	CLIENT    	RELAY1    
RELAY1    	R         	15:31:11.513726		ACK       		900       	SERVER    	RELAY1    
RELAY1    	S         	15:31:11.515119		ACK       		900       	RELAY1    	CLIENT    
SERVER    	R         	15:31:11.516364		DATA      		800       	RELAY2    	SERVER    
CLIENT    	R         	15:31:11.517148		ACK       		900       	RELAY1    	CLIENT    
RELAY1    	R         	15:31:11.516916		DATA      		1100      	CLIENT    	RELAY1    
RELAY2    	R         	15:31:11.518307		ACK       		800       	SERVER    	RELAY2    
SERVER    	S         	15:31:11.519214		ACK       		800       	SERVER    	RELAY2    
